Detected Text,Timestamp
PB11BD2025,2024-07-16 10:33:15.864
PB11BD2025,2024-07-16 10:33:28.136
PB11HD2025,2024-07-16 10:34:06.745
PB11BD2025,2024-07-16 10:38:09.780
PB11BD2025,2024-07-16 10:38:21.362
PB11HD2025,2024-07-16 10:39:00.611
PB11BD2025,2024-07-16 11:54:36.207
PB11BD2025,2024-07-16 11:54:48.661
PB11HD2025,2024-07-16 11:55:31.566
PL92CS6379,2024-07-16 12:02:53.206
DL92CS6379,2024-07-16 12:03:02.256
PL92CS6379,2024-07-16 17:09:42.663
PL92CS6379,2024-07-16 22:34:31.651
DL92CS6379,2024-07-16 22:34:35.756
HR26OA7532,2024-07-16 22:48:57.885
HR26DA7532,2024-07-16 22:48:59.856
HR26OA7532,2024-07-16 22:49:01.351
HR26OA7532,2024-07-16 22:49:02.760
HR26OA7532,2024-07-16 22:49:02.834
HR26DA7532,2024-07-16 22:49:02.915
HR26DA7532,2024-07-16 22:49:03.031
HR26DA7532,2024-07-16 22:49:03.428
HR26OA7532,2024-07-16 22:49:03.649
HR26A7532,2024-07-16 22:49:03.869
HR26OA7532,2024-07-16 22:49:04.085
HR26OA7532,2024-07-16 22:49:04.312
HR26OA7532,2024-07-16 22:49:04.412
HR26OA7532,2024-07-16 22:49:04.864
HR26OA7532,2024-07-16 22:49:05.089
HR26OA7532,2024-07-16 22:49:05.522
HR26OA7532,2024-07-16 22:49:06.335
HR26OG7532,2024-07-16 22:49:07.193
HR26DA7532,2024-07-16 22:49:07.666
PB11CX0280,2024-07-16 22:49:18.029
PB11CX0280,2024-07-16 22:49:20.413
HR26OA7532,2024-07-16 22:49:47.939
HR26DA7532,2024-07-16 22:49:49.913
HR26OA7532,2024-07-16 22:49:51.525
PB39G1515,2024-07-16 22:50:44.589
PB39G1515,2024-07-16 22:50:45.472
PB39G1515,2024-07-16 22:50:46.582
PB39G1515,2024-07-16 22:50:46.962
PB39G1515,2024-07-16 22:50:47.554
PB39G1515,2024-07-16 22:50:47.650
PB39G1515,2024-07-16 22:50:47.836
PB39G1515,2024-07-16 22:50:47.953
PB39G1515,2024-07-16 22:50:48.149
PB39G1515,2024-07-16 22:50:48.452
PB39G1515,2024-07-16 22:50:48.555
PB11AS7299,2024-07-16 22:51:26.515
PB11AS7299,2024-07-16 22:51:27.244
PB11AS7299,2024-07-16 22:51:29.103
PB11AS7299,2024-07-16 22:51:29.783
PB11CY4669,2024-07-16 22:52:25.901
PB11CY4669,2024-07-16 22:52:26.851
PB11CY4669,2024-07-16 22:52:28.824
PB11CY4669,2024-07-16 22:52:29.155
PB39G1515,2024-07-16 22:53:09.061
PB39G1515,2024-07-16 22:53:09.977
PB39G1515,2024-07-16 22:53:11.002
PB39G1515,2024-07-16 22:53:11.291
PB39G1515,2024-07-16 22:53:11.968
PB39G1515,2024-07-16 22:53:12.121
PB39G1515,2024-07-16 22:53:12.400
PB39G1515,2024-07-16 22:53:12.510
PB39G1515,2024-07-16 22:53:12.719
PB39G1515,2024-07-16 22:53:13.041
PB39G1515,2024-07-16 22:53:13.128
PB39G1515,2024-07-16 22:54:01.845
PB39G1515,2024-07-16 22:54:02.741
PB39G1515,2024-07-16 22:54:03.805
PB39G1515,2024-07-16 22:54:04.135
PB39G1515,2024-07-16 22:54:04.733
PB39G1515,2024-07-16 22:54:04.867
PB39G1515,2024-07-16 22:54:05.052
PB39G1515,2024-07-16 22:54:05.149
PB39G1515,2024-07-16 22:54:05.372
PB39G1515,2024-07-16 22:54:05.673
PB39G1515,2024-07-16 22:54:05.786
PB39G1515,2024-07-16 22:59:27.764
PB39G1515,2024-07-16 22:59:28.679
PB39G1515,2024-07-16 22:59:29.703
PB39G1515,2024-07-16 22:59:30.013
PB39G1515,2024-07-16 22:59:30.585
PB39G1515,2024-07-16 22:59:30.696
PB39G1515,2024-07-16 22:59:30.874
PB39G1515,2024-07-16 22:59:30.984
PB39G1515,2024-07-16 22:59:31.185
PB39G1515,2024-07-16 22:59:31.455
PB39G1515,2024-07-16 22:59:31.565
PB39G1515,2024-07-16 23:03:46.793
PB39G1515,2024-07-16 23:03:47.776
PB39G1515,2024-07-16 23:03:48.984
PB39G1515,2024-07-16 23:03:49.343
PB39G1515,2024-07-16 23:03:49.943
PB39G1515,2024-07-16 23:03:50.059
PB39G1515,2024-07-16 23:03:50.253
PB39G1515,2024-07-16 23:03:50.351
PB39G1515,2024-07-16 23:03:50.564
PB39G1515,2024-07-16 23:03:50.867
PB39G1515,2024-07-16 23:03:50.968
PB11PD2025,2024-07-16 23:29:34.678
